id,label,chat,,,,
1,escalate,"I had a friend that would go off about girls and get super depressed. He told me he was going to kill himself one night and I drove 1n hour and a half to go look for him. By then the cops had already taken him to the hospital but me and a friend went and hung out with him. Also been there to help try and talk him down. Another person I hadnt been friends with for years cause of some stuff called me out of the blue on thankgiving last year. I called back and got a hospital number so I knew something was up. Ended up being a kid who I was friends with years before but was a huge douche to me. He was in the psych ward for trying to kill himself. I got a hold of him and talked to him for a while. Whenever he would call I would answer and be there even though I still had the shit from years earlier on my mind. There are people that I might not want to be around but if it's a situation like this I'll be there for people. My goal or purpose in life that's sustained my survival is to help make other peoples lives a little bit better. Make people laugh when they're sad, help people out when nobody else will. Basically treat other humans even strangers with the respect and kindness of a friend. That's all people need sometime. Let people talk through their shit with me and offer helpful advice if I can. I'm still swimming in my own shit but that's enough to keep me going, keep that little light at the end of the tunnel switched on. Idk how long that will last but I'll be here till it flickers out.",,,,
2,escalate,"My friend dealt with anxiety and this desire for everything in her life to be perfect, she describes it as caring what happens to much, but either way I simply talked to her and when she would try and change the subject I would have to drag her back in due the fact that she didn't want to talk about it, but in reality she wouldn't get better unless i pulled her back into it and helped her through it. But how i helped was by basically talking to her, and giving her the advice she needed to hear, not the one she wanted to such as oh you'll be ok  this will all blow over"" what i said was more along the lines of being so blunt that many may find it rude but for her and i it was essential to making any progress.""""y friend dealt with anxiety and this desire for everything in her life to be perfect  she describes it as caring what happens to much  but either way I simply talked to her and when """,,,,
3,escalate,"Friend who had big addiction issues, ended up being completely isolated, skipped school, and had a very low self esteem. I convinced him to go see a doc together, and promised him that i would go through everything with him. He went to rehab for a few months and now he's clean. But the complete lack of support from his family, from school, changed him. I think it was too late when I helped him (he was like that for 5 months) and he'll never be the same as before.",,,,
4,do_not_escalate,"Over the internet a LOT of people write to me to talk about their problems. Its often girl related, I dont know, I guess it can be nice to rant to someone you dont know irl/someone who can look at the situation a little bit more objective? I think a lot of guys also feel that it can be hard to talk to girl friends irl about their innermost feelings sometimes, thats the feeling I get at least. My friend jokingly refers to me as an Agony Aunt""",,,,
5,escalate,"Having gone through depression and anxiety myself, I understand the struggles and have a few personal methods to cope when stuff hits. Having this knowledge has allowed me to help several people on the internet as well as my other friends when they have faced similar issues and talk to me about them. I understand how important listening is and offer my experiences to help them get through what they face.",,,,
6,escalate,My now girlfriend used to have serious addiction troubles before we started dating and felt as though her addiction defined her as a person. She thought that all people saw when they looked at her was the addiction. I spent many nights with her talking and letting her vent. I was one of the only people supporting her and she felt as though I could help because I had been in her spot.,,,,
7,do_not_escalate,"Only really one friend who doesn't fit into the any of the above categories. Her therapist calls it spiraling."" Anyway she pretty much calls me any time she is frustrated by something with  her boyfriend to ask me if it's logical or not. Before they would just fight and he would call her crazy. Now she asks me if it's ok he didn't say ""please"" when he said  ""hand me the remote.""",,,,
8,do_not_escalate,"Now that I've been through it, although i'm not even where I'd like to be, I'm extremely open about sharing my experience with others and helping friends going through similar situations. And PLEASE if you have any other questions about my situation don't hesitate to email me. I'm an open book and excited to see how many people you're going to help.",,,,
9,do_not_escalate,I've always been a good listener for people and I think a lot of people just want to be heard and not necessarily fixed. They just need to express themselves to relief their thoughts to others so they're not trapped so much within the confines of their own head.  I've always lent an ear for someone to speak to.,,,,
10,escalate,"I feel completely alone, even with people around, but not in any ordinary sense. I feel like I'm unable to connect with other people because they couldn't possibly understand what I am going through, and if I try to make them understand I fear that they'll think I'm crazy, which I'm pretty sure that I am",,,,
11,do_not_escalate,"Took a week off work, packed up the car and picked up a friend who was on the verge of losing it and went camping/surfing for a week. His parents were a big part of the problem and being away from them and others and physical activity every day for a week. but more just being around helped i feel.",,,,
12,escalate,One of my best friends was diagnosed with cancer and I did as much as I could for him during that time. I visited him almost every day when he was in treatment just so he didn't have to be alone or anything. When he came back to school I helped him get caught up with school work too.,,,,
13,escalate,I've had some friends come to me saying people or acquaintances they've known who have killed themselves try and find comfort with me because my best friend killed himself my junior year of high school so they've come to me hoping to find some answers or peace in the turmoil.,,,,
14,do_not_escalate,"Haha. In eight grade, kid got rejected twice. Wanted her to sign his yearbook but he was too nervous. I told him she doesn't really care about rejecting him and she thinks no less of him. He did it.    Probably more, but that's what comes up off the top of my head.",,,,
15,do_not_escalate,Some of my friends have gone through the same type of struggle I have been through. I let them know that they could talk to me about anything and that being honest with yourself even if the truth hurts is the best way to start to get back up.,,,,
16,escalate,"I feel like depressed always,always worried , always living with fear, always been think like why im not like that someone why i always been wrong one why i always makes mistakes why i always been rude Êand many more ...........",,,,
17,escalate,i've had a couple of friends (you could say more than friends) with quite severe depression/ emotional problems. i helped for a while but eventually both relationships started to suffer as a result of both our personal problems,,,,
18,escalate,"I will always listen. I comforted my sister when she lost her virgity the same night she walked in on her boyfriend cutting himself, and then our parents found out she threw a house part. Simply bring supportive was my focus.",,,,
19,do_not_escalate,"A lot for my friends. When they have had girl problems, or have just been down in the dumps about life. I always try to look on the positive side of life, and I try to reflect that on my friends' lives as well.",,,,
20,do_not_escalate,When my friend needed help when she was going through some tough stuff. I knew that she needed it but she wouldn't admit it. So I brought it up and initiated it and we talked about it and it really helped her.,,,,
21,escalate,My grandmother went through some severe depression shortly after I had some difficulties. Using my personal experience to relate with her and share what I used to get better was helpful to comfort her.,,,,
22,do_not_escalate,"Sometimes my friends bring up issues they are having with themselves, and I feel that I give them good advice and make them feel adequate and normal. I just try to be kind and helpful and honest.",,,,
23,escalate,"Last year, my best friend was diagnosed with anxiety disorder and depression. She tried to commit suicide. I tried my best to be there for her the entire time throughout her recovery.",,,,
24,escalate,"This is Sal and I am looking to find help for my friend, Howard, he's changed and I don't think he's the same person that he used to be.  My friends are worried about him.  ",,,,
25,do_not_escalate,"there are too many to remember specifically, but being as helpful and rational as possible (as well as just listening) with people that need it is a fairly common occurrence",,,,
26,do_not_escalate,"The one person I ever talked to it was because we were both going through the same thing. Us talking together helped, it was important to realize you aren't alone",,,,
27,do_not_escalate,I used to tutor homeless men at a shelter to help them obtain their GED's. They were all age 50+ and some of them were even reading at a first grade level.,,,,
28,do_not_escalate,Friend got dumped by girl he had been in a relationship in for 2 years. I stayed by his side until he stopped feeling bad about it. I was there for him.,,,,
29,escalate,My sister has some pretty severe issues  with her mental health. I try to be there for her when she needs it and I'd like to think its helped her.,,,,
30,do_not_escalate,"I helped encourage a friend to go to therapy, and often listened to their problem to let them know there was someone there for them.",,,,
31,escalate,"I saved a girl from suicide once. She was going to swallow a bunch of pills and I talked her out of it in a very calm, loving way.",,,,
32,escalate,My friend Eric is drinking too much these days and he doesn't even realize that it's not good for him.  Every night he is drunk.,,,,
33,do_not_escalate,expressing concern and openness to friends when they are dealing with troubles. letting them know they can fell open for dialog.,,,,
34,escalate,Cleaning up my friend's campsite and slightly helping him while he was living all summer as an alcoholic in the Mt. Hood woods.,,,,
35,do_not_escalate,a couple of years ago my friends was going to switch school because of low self esteem too. I helped him overcome that shit too,,,,
36,do_not_escalate,"Always. I don't judge people to much, and can listen well most of the time. So naturally people come to me with their problems.",,,,
37,escalate,Many times for my one friend who tried heroine and was dealing with depression because of a boy who was a bad influence on him,,,,
38,escalate,Had a friend open up to me about his mental addiction to weed and how it was taking over his life and making him depressed,,,,
39,do_not_escalate,"I have talked though some major blows in my girlfriends life. She has had some tough times, and I helped her with them.",,,,
40,escalate,I think my friend is not well and could possibly hurt himself.  I need help to find out how to get him some assistance,,,,
41,escalate,On the memorial anniversary of my friends father I was with him to give support and remind him that he's not alone.,,,,
42,escalate,Bob is no where to be found right now and our family is very worried about him.  Should we contact the authorities?,,,,
43,do_not_escalate,"My brother went through the same struggles I did, after i found help I was able to set him on the path to healing.",,,,
44,escalate,"Having self harmed in the past,  I shared my experience with a friend in hopes of swaying her from those actions.",,,,
45,do_not_escalate,"one of my friends was feeling down, so he came over and talked it out while I listened and gave him some input.",,,,
46,do_not_escalate,"Summer camp, countless kids have the same issue. I tell them i how it is when you cant listen or are restless.",,,,
47,do_not_escalate,"I once acted as a resource for someone who was struggling in school, and I helped them with their schoolwork.",,,,
48,escalate,Many times for my one friend who tried hard drugs (cocaine) and was dealing with depression because of girls,,,,
49,escalate,My friend was going through a period of intense depression and i made sure that i was always there for him.,,,,
50,do_not_escalate,I haven't really met anyone dealing with attention issues. So I haven't had a chance to help unfortunately.,,,,
51,escalate,Ex girlfriend had depression and anxiety. I used to hold her and listen as she told me what was going on,,,,
52,escalate,Roommate when he was going through death and loss of a gf. Did anything to get him out of his bedroom.,,,,
53,do_not_escalate,Listened to someone talk about relationship troubles. Offered some advice from personal experience.,,,,
54,escalate,"My friend, Arthur, is having issues with heroine and it doesn't look like he wants help anymore",,,,
55,do_not_escalate,"Friends sometimes come up to me and ask for advice,  I try and give it the best I possibly can",,,,
56,do_not_escalate,Don't have a specific example but just letting people know you're there if they want to talk.,,,,
57,do_not_escalate,As a camp counselor I provide stability in kids lives who may have troubled home situations.,,,,
58,do_not_escalate,GF and I help her through a lot of shit because I myself have been through a lot of shit.,,,,
59,do_not_escalate,I care about other people more than myself so I listen and help them through tough times,,,,
60,escalate,"ex gf was a cutter/suicidal, got her out of her own issues while slowly dying inside.",,,,
61,escalate,my girlfriend has a history of depression. She doesn't communicate with me anymore,,,,
62,escalate,"Friend was thinking about suicide, after a few days I managed to talk her down.",,,,
63,do_not_escalate,Friends often come to me to talk about the issues that they're facing in life.,,,,
64,do_not_escalate,i listen pretty damn well. better at that as apposed to telling my own story.,,,,
65,do_not_escalate,A friend that is a girl and just talk to her tryin to make her feel better,,,,
66,do_not_escalate,I have helped advise friends who have faced circumstances similar to mine,,  ,, 
67,do_not_escalate,I don't think I'm qualified to be a serious resource for someone else.,,,,
68,escalate,when my best friends mom past away from od'ing when he was in grade 5,,,,
69,do_not_escalate,I have tried but am absolutely horrable at it and am way too blunt.,,,,
70,escalate,Tired and depressed but still trying to work on possible solutions,,,,
71,do_not_escalate,"People calling, talk some sense into them, maybe facebook chat..",,,,
72,do_not_escalate,Simply being there as a friend for somebody who's struggling.,,,,
73,do_not_escalate,Sometimes I'll calm my friends down after bad stuff happens.,,,,
74,escalate,Helping a friend through dealing with his alcoholic mother.,,,,
75,do_not_escalate,"yeah, it was very lucky.. and i couldn't give this place up",,,,
76,do_not_escalate,i cant think of one really...i think i may have indirectly,,,,
77,do_not_escalate,never i guess people dont see me as a guy they would go to,,,,
78,do_not_escalate,I open myself to any friend in need of emotional support.,,,,
79,do_not_escalate,"I'm the theripist of my friends, they always come to me",,,,
80,do_not_escalate,"Went through a rough patch, but he is doing better",,,,
81,do_not_escalate,I am a high school teacher so almost everyday.,,,,
82,do_not_escalate,I am looking for the other site on the page,,,,
83,do_not_escalate,Have worked through problems with friends,,,,
84,do_not_escalate,Anxious girlfriend always needs my help,,,,
85,do_not_escalate,I try and avoid this sort of conflict,,,,
86,do_not_escalate,Talking to a friend over a break up.,,,,
87,do_not_escalate,I am a soccer coach for my sons team,,,,
88,do_not_escalate,listening to girlfriend's problems,,,,
89,do_not_escalate,I don't believe tht is a concern,,,,
90,do_not_escalate,Making sure that he is doing ok,,,,
91,do_not_escalate,I've helped friends out before,,,,
92,do_not_escalate,Helped friends through stuff.,,,,
93,do_not_escalate,Going to watch a soccer game,,,,
94,do_not_escalate,It shouldn't be a problem,,,,
95,do_not_escalate,Describe?    Nah,,,,
96,do_not_escalate,You as a mom,,,,
97,do_not_escalate,I'm not sure,,,,
98,do_not_escalate,Thank you,,,,
99,do_not_escalate,never.,,,,
100,do_not_escalate,Never,,,,
